Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
2366805326,"May 11, 2019, 2:36:28 AM",운동 라이딩,Ride,"",2317,10.48,,,false,"",자이언트,activities/2517545988.fit.gz,43.09130096435547,,,1536.0,10480.900390625,9.199999809265137,,14.0,17.0,70.4000015258789,81.19999694824219,6.400000095367432,-0.020990563556551933,,,107.0,83.83989715576172,,,,101.03170013427734,181.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
2366851958,"Apr 20, 2019, 3:46:01 AM",양평 라이딩,Ride,"",14666,48.10,,,false,"",자이언트,activities/2517593429.fit.gz,43.09130096435547,,,8402.0,48106.80078125,12.699999809265137,,314.0,317.0,90.4000015258789,179.8000030517578,46.79999923706055,0.023697273805737495,,,127.0,75.22069549560547,,,,93.57506561279297,922.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,,,186.0,,,,,,,,,,,,""
2420294843,"Jun 1, 2019, 3:58:16 AM",팔당 - 여주 - 구리,Ride,"",16445,82.55,,,false,"",자이언트,activities/2572844813.fit.gz,43.09130096435547,,,9853.0,82551.0,32.29999923706055,,339.0,367.0,120.0,208.60000610351562,38.79999923706055,0.002907293615862727,,,157.0,79.59962463378906,,,,172.27760314941406,1155.0,,25.0,,,,,,,4.0,,,,,,109.0,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,2.0,,7093.89990234375,,,,,,,,,,,,""
2428293986,"Jun 5, 2019, 10:31:03 PM",국토종주 2일 [양평 - 충주],Ride,"",45514,176.31,,,false,"",자이언트,activities/2581087294.fit.gz,43.09130096435547,,,34849.0,176315.59375,13.899999618530273,,895.0,894.0,103.0,231.8000030517578,47.599998474121094,0.03255525976419449,,,161.0,74.99762725830078,,,,83.62918090820312,4181.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,,,3538.0,,,,,,,,,,,,""
2428297526,"Jun 5, 2019, 12:09:19 PM",국토종주 1일 [구리 - 양평],Ride,"",11792,42.14,,,false,"",자이언트,activities/2581091078.fit.gz,43.09130096435547,,,7525.0,42139.0,11.199999809265137,,155.0,153.0,89.19999694824219,134.39999389648438,31.0,0.0550558865070343,,,113.0,73.50731658935547,,,,90.89111328125,1213.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,,,1034.0999755859375,,,,,,,,,,,,""
2430641642,"Jun 6, 2019, 11:24:32 PM",국토종주 3일 [충주 - 구미],Ride,"",46230,142.23,,,false,"",자이언트,activities/2583507190.fit.gz,43.09130096435547,,,33279.0,142231.0,11.5,,840.0,1034.0,163.0,693.4000244140625,44.70000076293945,-0.08254177868366241,,,124.0,69.98694610595703,,,,69.97864532470703,4002.0,,18.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,10076023.0,,,,,,,,,,,,,1576.199951171875,,,,,,,,,,,,""
3349829757,"Apr 25, 2020, 5:21:34 AM",의정부 - 구리 라이딩,Ride,"",17828,64.49,,,false,"",자이언트,activities/3579732337.fit.gz,43.09130096435547,,17828.0,10476.0,64491.5,10.800000190734863,6.160999774932861,121.0,187.0,117.0,221.0,26.399999618530273,-0.1014087125658989,,,110.0,68.45748138427734,,,,90.48114013671875,1136.0,,16.0,,,,,,,,,,,,,,0.0,,1.0,,1587790848.0,3.0,17.049999237060547,17.049999237060547,6.03000020980835,0.47999998927116394,1006.5999755859375,4.820000171661377,8.949999809265137,251.0,0.0,1587761024.0,1587809920.0,0.07000000029802322,10076023.0,,0.0,,1.0,16093.0,3.0,386.79998779296875,,,,,,205.1999969482422,,,,,,,,,,,,""
3375248201,"Apr 30, 2020, 5:12:59 AM",영산강 종주 - 1일,Ride,담양댐 - 나주시,23623,70.31,,,false,"",자이언트,activities/3606548069.fit.gz,43.09130096435547,,23623.0,13963.0,70312.796875,11.800000190734863,5.064000129699707,176.0,305.0,65.5999984741211,185.60000610351562,41.20000076293945,-0.1521771252155304,,,113.0,58.34416580200195,,,,80.17935943603516,1733.0,,23.0,,,,,,,,,,,,,,0.0,,1.0,,1588222848.0,1.0,26.06999969482422,26.06999969482422,11.569999694824219,0.4000000059604645,1015.5999755859375,4.070000171661377,6.769999980926514,218.0,0.0,1588192896.0,1588241920.0,0.23999999463558197,10076023.0,,0.0,,0.0,16093.0,7.0,348.8999938964844,,,,,,9817.599609375,,,,,,,,,,,,""
3545239794,"May 30, 2020, 7:19:14 AM",행주대교 라이딩,Ride,스팀 청소,12180,48.44,,,false,"",자이언트,activities/3785465591.fit.gz,,,12180.0,7276.0,48444.19921875,12.300000190734863,6.658081531524658,76.0,83.0,69.80000305175781,90.0,21.600000381469727,-0.006192691624164581,,,137.0,81.98050689697266,,,,111.62178802490234,1041.0,,25.0,,,,,,,,,,,,,,0.0,,1.0,,1590822016.0,1.0,27.049999237060547,27.049999237060547,9.760000228881836,0.3400000035762787,1015.5999755859375,3.6700000762939453,3.759999990463257,238.0,0.0,1590783360.0,1590835712.0,0.25999999046325684,10076023.0,,0.0,,0.25999999046325684,16093.0,4.0,322.1000061035156,,,,,,0.0,,,,,,,,,,,,""
3545256147,"May 4, 2020, 12:49:32 AM",제주도 종주 - 3일,Ride,[김녕해수욕장  - 제주시],9660,28.47,,,false,"",자이언트,activities/3785483157.fit.gz,,,9660.0,6372.0,28478.0,11.300000190734863,4.469240188598633,232.0,249.0,90.5999984741211,180.39999389648438,48.79999923706055,0.04354238510131836,,,132.0,68.11421203613281,,,,84.55953979492188,772.0,,24.0,,,,,,,,,,,,,,0.0,,1.0,,1588550400.0,2.0,17.84000015258789,17.950000762939453,15.619999885559082,0.8700000047683716,1010.2000122070312,4.389999866485596,6.489999771118164,314.0,0.01360000018030405,1588538624.0,1588587520.0,0.38999998569488525,10076023.0,,0.019999999552965164,5.0,0.7599999904632568,16093.0,3.0,336.0,,,,,,0.0,,,,,,,,,,,,""
3545273097,"May 2, 2020, 10:28:04 PM",제주도 종주 - 2일,Ride,중문 관광단지 - 김녕 해수욕장,41874,109.56,,,false,"",자이언트,activities/3785501582.fit.gz,,,41874.0,23244.0,109559.1015625,11.199999809265137,4.713435649871826,605.0,720.0,131.8000030517578,236.0,50.0,-0.05987635999917984,,,132.0,68.50804901123047,,,,77.9650650024414,3381.0,,21.0,,,,,,,,,,,,,,0.0,,1.0,,1588456832.0,5.0,17.25,17.6299991607666,17.170000076293945,1.0,1005.9000244140625,3.200000047683716,5.570000171661377,175.0,0.8794999718666077,1588452352.0,1588501120.0,0.3499999940395355,10076023.0,,0.6899999976158142,5.0,1.0,1808.0,0.0,346.70001220703125,,,,,,0.0,,,,,,,,,,,,""
